country_code,year,label,tsne_1,tsne_2,tsne_3,country_name
AFG,2004,AFG (2004),25.744654,12.69373,1.2324125,AFG
AFG,2005,AFG (2005),26.199568,12.603252,2.070488,AFG
AFG,2006,AFG (2006),25.704222,12.459193,1.8698534,AFG
AFG,2007,AFG (2007),26.66936,13.749432,1.1728555,AFG
AFG,2008,AFG (2008),26.157352,13.539732,0.9403476,AFG
AFG,2009,AFG (2009),26.854305,13.566714,1.7595344,AFG
AFG,2010,AFG (2010),26.46318,14.11421,1.5548414,AFG
AFG,2011,AFG (2011),25.276628,13.8316965,1.4335,AFG
AFG,2012,AFG (2012),26.33882,13.424193,2.064692,AFG
AFG,2013,AFG (2013),26.16372,13.088611,1.5686111,AFG
AFG,2014,AFG (2014),25.670935,13.622694,1.8905625,AFG
AFG,2015,AFG (2015),25.836071,13.2585535,0.92066205,AFG
AFG,2016,AFG (2016),25.769388,12.948843,1.331129,AFG
AFG,2017,AFG (2017),25.557026,13.717716,1.7819296,AFG
AFG,2018,AFG (2018),25.535067,13.668655,1.0345583,AFG
AFG,2019,AFG (2019),25.775728,13.969706,1.5048596,AFG
ALB,1990,ALB (1990),5.7222776,6.471858,-14.569851,ALB
ALB,1991,ALB (1991),7.789945,3.53234,-15.26945,ALB
ALB,1992,ALB (1992),5.7347546,6.566158,-14.636988,ALB
ALB,1993,ALB (1993),9.702149,-0.8133898,2.2345364,ALB
ALB,1994,ALB (1994),9.651347,-1.0016367,2.3165514,ALB
ALB,1995,ALB (1995),9.06499,-0.96877724,1.59817,ALB
ALB,1996,ALB (1996),9.810077,-1.7535461,2.0761852,ALB
ALB,1997,ALB (1997),12.152729,-7.600023,13.11221,ALB
ALB,1998,ALB (1998),9.598682,-1.4049153,2.1277218,ALB
ALB,1999,ALB (1999),8.81501,-0.8573426,1.5948781,ALB
ALB,2000,ALB (2000),8.314697,-0.8858426,3.3365293,ALB
ALB,2001,ALB (2001),8.263497,-0.79322624,3.1710405,ALB
ALB,2002,ALB (2002),3.701663,0.94974226,6.3423686,ALB
ALB,2003,ALB (2003),3.6286762,0.992192,6.3116713,ALB
ALB,2004,ALB (2004),3.4907355,1.1731176,6.3767114,ALB
ALB,2005,ALB (2005),2.3107188,-7.2466855,-10.376237,ALB
ALB,2006,ALB (2006),2.0110033,-8.140178,-9.821267,ALB
ALB,2007,ALB (2007),2.6116605,1.7246169,6.538058,ALB
ALB,2008,ALB (2008),1.5649452,-7.4407206,-9.695453,ALB
ALB,2009,ALB (2009),-11.6448965,-4.902978,-8.394055,ALB
ALB,2010,ALB (2010),-11.664744,-4.848774,-8.442487,ALB
ALB,2011,ALB (2011),-11.875874,-4.8576736,-8.135098,ALB
ALB,2012,ALB (2012),-12.153326,-5.0193424,-7.7978373,ALB
ALB,2013,ALB (2013),-12.463431,-5.2242627,-7.404011,ALB
ALB,2014,ALB (2014),-13.903459,-5.7741013,-4.9035406,ALB
ALB,2015,ALB (2015),-13.795181,-5.50818,-4.8605394,ALB
ALB,2016,ALB (2016),-13.709542,-4.9971013,-4.5465198,ALB
ALB,2017,ALB (2017),-13.830955,-4.483864,-4.1050043,ALB
ALB,2018,ALB (2018),-13.932825,-4.000629,-3.9500215,ALB
ALB,2019,ALB (2019),-14.029555,-3.8524065,-3.988711,ALB
DZA,1990,DZA (1990),-7.338487,7.72037,1.087055,DZA
DZA,1991,DZA (1991),-7.4986386,7.954237,1.1400658,DZA
