country_code,country_name,num_years,start_year,end_year,avg_vector,total_distance,avg_speed,speed_variance,acceleration,directional_consistency,start_position,end_position,net_displacement,net_displacement_magnitude,efficiency,all_coordinates,avg_vector_1,net_displacement_1,avg_vector_2,net_displacement_2,avg_vector_3,net_displacement_3,cluster
AFG,AFG,16,2004,2019,[0.00207163 0.08506502 0.01816314],13.433065581454223,0.8955377054302815,0.10965224682198693,-0.02498626956285847,0.09715634803954833,[25.7446537  12.69373035  1.23241246],[25.77572823 13.96970558  1.50485957],[0.03107452 1.27597523 0.27244711],1.305107594869844,0.09715634803954833,"[[25.7446537  12.69373035  1.23241246]
 [26.19956779 12.60325241  2.07048798]
 [25.70422173 12.45919323  1.86985338]
 [26.66935921 13.74943161  1.1728555 ]
 [26.15735245 13.53973198  0.94034761]
 [26.85430527 13.56671429  1.75953436]
 [26.46318054 14.11421013  1.5548414 ]
 [25.27662849 13.83169651  1.43350005]
 [26.3388195  13.42419338  2.06469202]
 [26.16371918 13.08861065  1.56861115]
 [25.67093468 13.62269402  1.89056253]
 [25.83607101 13.2585535   0.92066205]
 [25.7693882  12.948843    1.33112895]
 [25.55702591 13.71771622  1.78192961]
 [25.5350666  13.6686554   1.0345583 ]
 [25.77572823 13.96970558  1.50485957]]",0.002071634928385417,0.03107452392578125,0.0850650151570638,1.275975227355957,0.018163140614827475,0.2724471092224121,4
AGO,AGO,30,1990,2019,[-0.75857268 -0.1284522  -0.18067784],119.67102618426377,4.126587109802199,43.66418631851636,-0.23511102543117254,0.1915146324294877,[17.8868866  12.03150272  0.12299532],[-4.11172104  8.30638885 -5.11666203],[-21.99860764  -3.72511387  -5.23965735],22.918752592138876,0.1915146324294877,"[[ 1.78868866e+01  1.20315027e+01  1.22995324e-01]
 [ 1.93442135e+01  7.68817234e+00  5.12245798e+00]
 [ 1.92070656e+01  7.57929850e+00  4.67312670e+00]
 [ 9.21098995e+00  5.47202444e+00 -1.44627838e+01]
 [ 1.92286205e+01  7.55189276e+00  5.46244287e+00]
 [ 1.85684071e+01  6.80755472e+00  8.71566868e+00]
 [ 1.85721436e+01  6.78862429e+00  8.74615288e+00]
 [ 1.92010517e+01  7.36561918e+00  6.34601068e+00]
 [ 1.88669090e+01  7.35897970e+00  6.32719898e+00]
 [ 1.78997364e+01  1.20177174e+01  1.70202717e-01]
 [ 1.76237736e+01  8.31154251e+00  5.90208626e+00]
 [ 1.75099277e+01  8.27308846e+00  5.91734266e+00]
 [ 1.87109718e+01  6.79678345e+00  8.69121075e+00]
 [ 1.88343525e+01  7.43858671e+00  6.21728277e+00]
 [ 1.80936413e+01  7.16300678e+00  8.83888435e+00]
 [ 1.81894264e+01  7.05613375e+00  8.93006229e+00]
 [ 1.76587467e+01  7.42482090e+00  9.12001038e+00]
 [ 1.78134594e+01  7.30745602e+00  9.08243847e+00]
 [ 1.75143375e+01  7.51980066e+00  9.20306873e+00]
 [-1.94766954e-01  4.54105473e+00  1.09417210e+01]
 [ 4.59909476e-02  4.62824011e+00  1.08569670e+01]
 [ 5.52900415e-03  4.58977127e+00  1.08697767e+01]
 [ 9.21832144e-01  4.89090443e+00  1.05467567e+01]
 [ 6.73402190e-01  4.95821333e+00  1.06304159e+01]
 [ 7.43843555e-01  5.12978220e+00  1.06018629e+01]
 [-3.11305737e+00  8.60021591e+00 -4.76568747e+00]
 [-3.36952734e+00  8.51062584e+00 -4.84276390e+00]
 [-3.47271132e+00  8.47882271e+00 -4.89220715e+00]
 [-3.94863272e+00  8.32988930e+00 -5.00693655e+00]
 [-4.11172104e+00  8.30638885e+00 -5.11666203e+00]]",-0.7585726770861395,-21.998607635498047,-0.12845220236942687,-3.725113868713379,-0.18067783965119,-5.23965734988451,2
ALB,ALB,30,1990,2019,[-0.68109769 -0.35600912  0.36486689],141.2211587795368,4.869695130328855,45.634815503933595,-0.1242919033242271,0.17470158163192925,[  5.72227764   6.47185802 -14.56985092],[-14.02955532  -3.8524065   -3.98871112],[-19.75183296 -10.32426453  10.5811398 ],24.671559798678892,0.17470158163192925,"[[  5.72227764   6.47185802 -14.56985092]
 [  7.78994513   3.53234005 -15.26945019]
 [  5.73475456   6.56615782 -14.63698769]
 [  9.70214939  -0.81338978   2.23453641]
 [  9.65134716  -1.00163674   2.31655145]
 [  9.06499004  -0.96877724   1.59817004]
 [  9.81007671  -1.75354612   2.07618523]
 [ 12.15272903  -7.60002279  13.11221027]
 [  9.5986824   -1.40491533   2.12772179]
 [  8.81501007  -0.8573426    1.59487808]
 [  8.31469727  -0.88584262   3.33652925]
 [  8.26349735  -0.79322624   3.17104053]
 [  3.70166302   0.94974226   6.3423686 ]
 [  3.62867618   0.99219197   6.31167126]
 [  3.49073553   1.17311764   6.37671137]
 [  2.31071877  -7.2466855  -10.37623692]
 [  2.01100326  -8.14017773  -9.82126713]
 [  2.61166048   1.72461689   6.5380578 ]
 [  1.56494522  -7.44072056  -9.69545269]
 [-11.64489651  -4.90297794  -8.39405537]
 [-11.66474438  -4.84877396  -8.44248676]
 [-11.87587357  -4.85767365  -8.13509846]
 [-12.15332603  -5.01934242  -7.79783726]
 [-12.46343136  -5.22426271  -7.40401077]
 [-13.9034586   -5.77410126  -4.90354061]
 [-13.79518127  -5.50818014  -4.86053944]
 [-13.70954227  -4.99710131  -4.54651976]
 [-13.83095455  -4.48386383  -4.10500431]
 [-13.93282509  -4.00062895  -3.95002151]
 [-14.02955532  -3.8524065   -3.98871112]]",-0.6810976883460735,-19.751832962036133,-0.35600912159886855,-10.324264526367188,0.3648668897563013,10.58113980293274,2
ARE,ARE,18,1997,2014,[-0.10788272 -0.17821037  0.0512262 ],35.09028497236929,2.06413441013937,6.133862508510986,0.3383768002282791,0.10393062770623988,[-13.12882996  15.69842911  -5.11058569],[-14.96283627  12.66885281  -4.23974037],[-1.83400631 -3.0295763   0.87084532],3.646955343569177,0.10393062770623988,"[[-13.12882996  15.69842911  -5.11058569]
 [-14.07318306  16.35370255  -5.10774946]
 [-14.27633953  15.97153378  -5.75629091]
 [-13.65781212  15.38008785  -6.51624727]
 [-14.80835056  15.498559    -6.22233772]
 [-14.83438587  15.3712616   -6.23361349]
 [-14.33746433  14.41479111  -4.90906572]
 [-14.24877071  14.26179314  -4.51772499]
 [-10.64332008  13.66223431   0.65879351]
 [-10.72096825  13.63169193   0.61615807]
 [-14.94111443  13.06190014  -4.54493093]
 [-14.95242977  12.98433876  -4.60051727]
 [-15.40333748  12.65266323  -5.06295872]
 [-15.10040188  12.7958374   -4.65387583]
 [-14.66077423  12.99519825  -3.81263566]
 [-14.83172226  12.80034351  -3.96272659]
 [-10.6733551   13.98408222   0.55082762]
 [-14.96283627  12.66885281  -4.23974037]]",-0.10788272408878102,-1.8340063095092773,-0.17821037068086512,-3.029576301574707,0.05122619516709272,0.8708453178405762,4
ARG,Argentina,30,1990,2019,[-0.3421296   0.05735915  0.07220564],54.10017438864565,1.8655232547808844,4.453848338612378,-0.1448649056267544,0.18994101266359092,[ -0.30077565   5.71236992 -10.89548969],[-10.22253418   7.37578535  -8.80152607],[-9.92175853  1.66341543  2.09396362],10.27584190865622,0.18994101266359092,"[[ -0.30077565   5.71236992 -10.89548969]
 [ -3.92476082   5.06602955  -9.14160442]
 [ -3.74025583   5.16377592  -9.12185097]
 [ -3.80444884   5.36244774  -9.25917053]
 [ -3.33938718   5.44190121  -9.2083168 ]
 [ -0.40963537   5.91319942 -10.72816849]
 [ -3.18980861   5.21059179  -9.1358614 ]
 [ -3.76109076   5.43888712  -9.30778122]
 [ -2.59661222   5.91371965  -9.44557095]
 [ -0.5004468    5.95583439 -10.54728603]
 [ -0.80432618   5.89752722 -10.21957302]
 [ -0.01662387   6.31182289 -11.09091949]
 [  1.18676865   6.37362289 -11.90380669]
 [ -4.81433153   6.07722664  -9.61342049]
 [ -5.14279556   6.58067513  -9.84358692]
 [ -5.63153791   5.70889378  -8.8100729 ]
 [ -5.74559307   5.71317863  -8.6602354 ]
 [ -5.8639226    5.65220451  -8.69029617]
 [ -6.15495777   6.13816309  -7.89863062]
 [  0.48550311   7.22668076 -11.34193611]
 [ -6.78412342   5.46021795  -8.40052032]
 [ -8.15928936   5.76085806  -7.71251535]
 [ -9.60569191   7.27961731  -8.48316956]
 [ -9.31815434   6.61882401  -8.29385662]
 [ -9.95049763   7.38723421  -8.71587849]
 [ -9.48352814   6.59202909  -8.35180473]
 [-10.03616047   7.31427193  -8.72026443]
 [ -9.62685013   6.55655336  -8.40044117]
 [-10.21853161   7.39426851  -8.81158733]
 [-10.22253418   7.37578535  -8.80152607]]",-0.34212960456979685,-9.921758532524109,0.0573591528267696,1.6634154319763184,0.07220564217403017,2.093963623046875,4
ARM,ARM,27,1992,2019,[-0.44705035 -0.5515111   0.15813552],51.10344516028451,1.965517121549404,10.948294568646151,-0.2025711960396608,0.37005085664868864,[  8.09572697   3.36894512 -14.6173439 ],[ -3.52758217 -10.97034359 -10.50582027],[-11.62330914 -14.33928871   4.11152363],18.910873659262563,0.37005085664868864,"[[  8.09572697   3.36894512 -14.6173439 ]
 [  3.21964455   3.5220685  -12.3708849 ]
 [  0.54138047  -2.84738278 -12.21224689]
 [  0.74949044  -3.19544315 -12.32611179]
 [  0.83296913  -3.36199999 -12.40214443]
 [  0.68559694  -3.09780765 -12.20147228]
 [  0.68393987  -3.06946731 -12.35027695]
 [  1.60567594  -4.95194483 -10.50923443]
 [  1.8857615   -4.91048098  -9.55071831]
 [  2.41599751  -4.32014179  -8.29500675]
 [  2.39634871  -4.4875021   -8.27045631]
 [  2.15529799  -4.59985018  -8.92981243]
 [  2.48841906  -4.21423244  -8.07100582]
 [  2.23660564  -4.65466213  -8.66703415]
 [  2.13838553  -5.06462479  -8.65032482]
 [  1.56129467  -5.50321102  -9.82741165]
 [  4.18334246   1.0535841  -14.91134071]
 [ -1.43318605 -12.23656464 -12.44850349]
 [ -1.58557296 -11.85376263 -12.28263474]
 [ -1.77658939 -11.41874695 -12.04177189]
 [ -2.36283016 -11.15162754 -11.52839184]
 [ -3.00485802 -10.76130772 -11.14291382]
 [ -2.92946768 -10.84404278 -11.09764767]
 [ -3.16282272 -10.3266325  -10.87617588]
 [ -3.57836032 -10.92296028 -10.70978165]
 [ -3.50974202 -10.76072884 -10.72884178]
 [ -3.52758217 -10.97034359 -10.50582027]]",-0.447050351362962,-11.623309135437012,-0.551511104290302,-14.339288711547852,0.15813552416287935,4.111523628234863,2
AUS,Australia,30,1990,2019,[-0.72897283 -0.05181391  0.42036683],59.05787766180664,2.0364785400622982,20.178554152113623,0.018769105988251423,0.4139921844888024,[ -4.03337193   6.12568474 -16.89095497],[-25.17358398   4.62308121  -4.70031691],[-21.14021206  -1.50260353  12.19063807],24.449499784483777,0.4139921844888024,"[[ -4.03337193   6.12568474 -16.89095497]
 [ -3.99523091   6.28769732 -16.83484268]
 [ -4.01225138   6.16568899 -16.87014198]
 [ -9.63739204  -0.26435137   1.70254457]
 [ -9.52254486  -0.53417778   1.7478081 ]
 [ -9.37480259  -0.89856654   1.79877877]
 [ -9.91334248   0.07244621   1.76820147]
 [ -9.32795334  -1.02596426   1.82023668]
 [-22.57097244   3.42273927  -6.20750904]
 [-22.83883476   3.5559814   -6.06968212]
 [-22.85404778   3.19932699  -6.30334806]
 [-23.68788719   4.75263786  -5.14095974]
 [-23.25020981   3.57876253  -5.96841717]
 [-23.50661087   3.9067347   -5.70103312]
 [-23.49407387   3.30637169  -6.09885263]
 [-23.77335739   3.23273134  -6.08880997]
 [-24.09647942   3.77403331  -5.63865423]
 [-24.24536896   3.59635234  -5.71793747]
 [-24.2064209    3.17357612  -6.0261879 ]
 [-24.40075493   3.91028309  -5.46053553]
 [-25.05478287   5.28829432  -4.49031878]
 [-25.11193848   5.30985785  -4.46520329]
 [-24.79352188   3.82946277  -5.40891409]
 [-24.87374878   2.77992797  -6.15144444]
 [-24.94000626   4.00020266  -5.24874926]
 [-25.10544777   5.13919163  -4.50901556]
 [-24.94962311   4.34678602  -4.99030352]
 [-25.22232628   5.32128668  -4.33265829]
 [-25.2366581    5.22265625  -4.34228659]
 [-25.17358398   4.62308121  -4.70031691]]",-0.7289728296214136,-21.140212059020996,-0.051813914858061694,-1.502603530883789,0.420366829839246,12.190638065338135,2
AUT,AUT,30,1990,2019,[-0.40184697 -0.12907214  0.01494181],30.550361532207592,1.053460742489917,1.2010492997294206,0.002383343483244046,0.4008990948374169,[-5.2324338  -4.11318731 -0.25557357],[-16.88599586  -7.85627937   0.17773882],[-11.65356207  -3.74309206   0.43331239],12.247612285217865,0.4008990948374169,"[[ -5.2324338   -4.11318731  -0.25557357]
 [ -5.17450333  -4.17612791  -0.06365932]
 [ -5.03458738  -4.24840975   0.20914391]
 [ -4.83725214  -4.22165442   0.43126258]
 [ -5.12737989  -4.43916845   0.68770182]
 [ -6.89548492  -4.5187645    2.99834347]
 [ -7.19452286  -4.63082218   3.28137493]
 [ -7.75232697  -4.88428164   3.5355742 ]
 [ -8.15060806  -5.10462141   3.56618452]
 [ -9.11930943  -5.5457325    3.49083686]
 [ -9.78012085  -5.72947073   3.27649641]
 [-10.08477402  -6.07279491   3.32651687]
 [ -9.91110706  -6.32848597   3.25206685]
 [-10.29237652  -6.10434294   3.10232878]
 [-10.83059502  -6.36285019   3.03367472]
 [-13.38553905 -10.62248135   2.7419858 ]
 [-14.80077267  -8.58502293   0.82524991]
 [-13.72692013 -10.283144     2.48735046]
 [-15.55686378  -9.58376122   1.61342323]
 [-16.21978378 -10.16787624   1.870417  ]
 [-16.2910099   -9.01587677   0.71566749]
 [-15.39240265  -9.21666431   1.26492286]
 [-15.96984386  -9.42436409   1.3637768 ]
 [-16.15154648  -9.51069546   1.39669633]
 [-16.22397804  -9.36094379   1.23549426]
 [-16.29767799  -9.22432423   1.08141661]
 [-16.97235298  -8.58692646   0.05576661]
 [-16.40092087  -8.49600887   0.67423117]
 [-17.00829887  -8.09493351   0.10895196]
 [-16.88599586  -7.85627937   0.17773882]]",-0.4018469678944555,-11.653562068939209,-0.1290721400030728,-3.7430920600891113,0.014941806423253027,0.43331238627433777,3
AZE,AZE,28,1992,2019,[-0.66885953 -0.05414474  0.06782465],51.43998221548301,1.9051845264993708,15.091246572769721,0.015424406784968637,0.3540163076782528,[  7.75196695   4.09025383 -12.19482899],[-10.30724049   2.62834573 -10.36356354],[-18.05920744  -1.4619081    1.83126545],18.210592570960287,0.3540163076782528,"[[  7.75196695   4.09025383 -12.19482899]
 [  7.784554     4.1327877  -12.22620392]
 [  7.70708132   4.05611229 -12.21538258]
 [  5.86317301   4.17331934 -12.29208374]
 [  3.78784752   5.91034555  -4.13363838]
 [  3.9529562    5.88088131  -3.69616246]
 [  4.12244368   5.80126095  -2.94287229]
 [  4.10399437   5.83648443  -3.2016716 ]
 [  4.16812086   5.77691269  -2.83966255]
 [  4.36819553   5.47301817  -2.4371047 ]
 [  4.47729588   5.28632784  -2.1513443 ]
 [  4.52762651   5.13652658  -1.93175292]
 [  4.55588007   5.08407688  -1.85503829]
 [  8.98224831  -5.28044271  -3.49947643]
 [  8.92726803  -5.41733456  -3.43892527]
 [  8.96598625  -5.21848345  -3.50320506]
 [ -5.64227962   1.89658678  -6.94354343]
 [ -5.78530979   1.9598428   -7.05772066]
 [ -7.98247814   2.72525525  -8.26956272]
 [ -9.37755299   3.34487367 -11.50294113]
 [ -9.45329285   3.26597595 -11.31443882]
 [ -9.41650772   3.36069965 -10.81195545]
 [ -9.59695816   3.29509926 -11.10293484]
 [ -9.90203667   3.05494022 -11.09727764]
 [-10.37389088   2.67153525 -10.99341488]
 [-10.2051239    2.77879977 -10.83437443]
 [-10.14820576   2.82395029 -10.7520647 ]
 [-10.30724049   2.62834573 -10.36356354]]",-0.6688595347934299,-18.059207439422607,-0.05414474451983416,-1.4619081020355225,0.06782464627866391,1.8312654495239258,2
BDI,BDI,27,1990,2019,[ 0.00916591  0.06576867 -0.00785211],29.810633760973417,1.146562836960516,2.2196637963320422,-0.004026187001615223,0.05831947446320338,[19.50025558  3.65160728  3.65299582],[19.73856926  5.36159277  3.44884086],[ 0.23831367  1.70998549 -0.20415497],1.7385404943549978,0.05831947446320338,"[[19.50025558  3.65160728  3.65299582]
 [19.70432663  3.70767498  3.62504363]
 [19.28361511  3.77876043  3.51883483]
 [20.99493217  8.49899769  2.30842686]
 [19.35360146  6.65048075  2.32600093]
 [19.09995651  6.91930866  2.22741008]
 [19.39007187  7.15174341  2.05319738]
 [20.42053795  7.01962328  1.80439627]
 [21.19757843  6.17983103  1.65420151]
 [20.54401398  6.87037277  1.69171119]
 [20.64042854  6.8527379   1.7352612 ]
 [21.04322052  6.53711891  1.49169719]
 [21.27710342  6.27414799  1.59015369]
 [20.57043839  6.77108669  1.57583117]
 [21.17858505  6.00925493  1.72991872]
 [20.56970596  6.2186904   1.82328904]
 [20.4630394   4.94406891  2.91212893]
 [20.13599396  4.94591427  3.17144704]
 [19.982584    4.41316175  3.42268181]
 [18.42459106  0.66291398  4.6306181 ]
 [18.38809395  0.67298388  4.74315929]
 [18.21563721  0.68253267  5.0525589 ]
 [18.9385643   5.85729122  3.20642734]
 [19.43227386  5.6797328   3.39142418]
 [19.58189964  5.61532116  3.4517138 ]
 [19.65100861  5.41821098  3.49191117]
 [19.73856926  5.36159277  3.44884086]]",0.00916591057410607,0.2383136749267578,0.06576867286975567,1.7099854946136475,-0.007852114163912259,-0.20415496826171875,4
